Samples,Present Work,Smoothing,Lowpass,Hilbert
alto,0.0033212032338309568,0.5800196387075093,0.5835870935087685,0.40205411972256727
bend,0.003750405053320035,0.12682990455305002,0.1278384208186982,0.04345637604604702
brass,0.010922157384420537,0.31538177739485995,0.3153738013403651,0.18657789958969684
nonperiodic,7.55560604154107e-09,0.36231950811440766,0.36803140538564677,0.00019745498563359239
piano,0.019496757373585152,0.067839469128162,0.06803766104068988,0.038775011958041374
sinusoid,2.0830923541641855e-06,0.36356687714394054,0.36137552393737893,8.03473192397584e-05
soprano,0.002677032436878966,0.3911084052526896,0.39109780160492136,0.20908724281404567
spoken_voice,0.04956466403902804,0.2793417332034751,0.27936988221275055,0.1612073419979812
tom,0.007328955160218043,0.050608341967765966,0.05323289441461838,0.022795613506051984
