Samples,Reference,Present Work,Smoothing,Lowpass,Hilbert
alto,2.4682468,0.0098357,0.0963721,0.006843,0.0064757
bend,7.7670251,0.0094619,0.1461867,0.0045639,0.0672415
brass,53.3399945,0.0153902,0.2525144,0.0052268,0.0353579
nonperiodic,336.2681706,0.0024196,0.0637717,0.0029944,0.0073038
piano,20.2373332,0.0218841,0.3155462,0.0088592,0.0298394
sinusoid,13.2074327,0.0028986,0.0694481,0.0028391,0.0063237
soprano,58.1838807,0.1109552,0.5744096,0.0134395,0.2927162
spoken_voice,7.2559054,0.0034371,0.0619881,0.0029206,0.017096
tom,8.3539786,0.0024716,0.0699663,0.0013002,0.0039392
,,,,,
,507.0819676,0.178754,1.6502032,0.0489867,0.4662934
,,,,,
,302.992989,,,,
